File,Keywords,Threshold,Modularity,Category List Precision,Category List Recall,Category List F-score,Manually Tagged Category Precision,Manually Tagged Category Recall,Manually Tagged Category F-score
graph_5_0.8.gexf,5,0.8,0.3810348759607488,0.12444444444444444,0.12444444444444444,0.12444444444444444,0.16,0.16,0.16
graph_5_0.9.gexf,5,0.9,0.5075080758872934,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1288888888888889,0.1288888888888889,0.1288888888888889
graph_20_0.9.gexf,20,0.9,0.45637338911328074,0.24888888888888888,0.24888888888888888,0.24888888888888888,0.27555555555555555,0.27555555555555555,0.27555555555555555
graph_10_0.7.gexf,10,0.7,0.3919766469786335,0.22666666666666666,0.22666666666666666,0.22666666666666666,0.24444444444444444,0.24444444444444444,0.24444444444444444
graph_15_0.9.gexf,15,0.9,0.48616475933486963,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.21777777777777776,0.21777777777777776,0.21777777777777776
graph_15_0.8.gexf,15,0.8,0.3995901283236203,0.24,0.24,0.24,0.2311111111111111,0.2311111111111111,0.2311111111111111
graph_10_0.6.gexf,10,0.6,0.34099985560458995,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.26222222222222225,0.26222222222222225,0.26222222222222225
graph_20_0.8.gexf,20,0.8,0.37868812307885213,0.24888888888888888,0.24888888888888888,0.24888888888888888,0.27555555555555555,0.27555555555555555,0.27555555555555555
graph_15_0.7.gexf,15,0.7,0.3934840548288387,0.24,0.24,0.24,0.27555555555555555,0.27555555555555555,0.27555555555555555
graph_10_0.9.gexf,10,0.9,0.5052807671492778,0.19555555555555557,0.19555555555555557,0.19555555555555557,0.2,0.2,0.20000000000000004
graph_20_0.7.gexf,20,0.7,0.3618016778852219,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.3022222222222222,0.3022222222222222,0.3022222222222222
graph_20_0.6.gexf,20,0.6,0.2988534115390854,0.19555555555555557,0.19555555555555557,0.19555555555555557,0.2311111111111111,0.2311111111111111,0.2311111111111111
graph_10_0.8.gexf,10,0.8,0.38802707010220344,0.20444444444444446,0.20444444444444446,0.20444444444444443,0.21333333333333335,0.21333333333333335,0.21333333333333337
graph_15_0.6.gexf,15,0.6,0.3246878095847433,0.22666666666666666,0.22666666666666666,0.22666666666666666,0.2577777777777778,0.2577777777777778,0.2577777777777778
graph_5_0.6.gexf,5,0.6,0.3230678720169165,0.18666666666666668,0.18666666666666668,0.18666666666666668,0.19555555555555557,0.19555555555555557,0.19555555555555557
graph_5_0.7.gexf,5,0.7,0.35550239431127795,0.13777777777777778,0.13777777777777778,0.13777777777777778,0.16444444444444445,0.16444444444444445,0.16444444444444445
